,tprs_lower,mean_tpr,tprs_upper
0,0.0,0.0,0.0
1,0.36542014483567764,0.3790582127743941,0.3926962807131106
2,0.468288538562162,0.48101564506660843,0.49374275157105485
3,0.5354739525036074,0.546413783976269,0.5573536154489307
4,0.5842110231548285,0.5938828937820155,0.6035547644092025
5,0.6214583361428399,0.6301792314530312,0.6389001267632226
6,0.6522595174841206,0.6602452481290118,0.6682309787739029
7,0.67774736018772,0.6852744137022965,0.692801467216873
8,0.701158415708063,0.7083549178629319,0.7155514200178008
9,0.7209148652111176,0.7274774180412736,0.7340399708714297
10,0.7387158982104568,0.7448333111895394,0.7509507241686221
11,0.7543727158712392,0.760132658876904,0.7658926018825687
12,0.7687618842123718,0.7744475602252354,0.780133236238099
13,0.7817755181853735,0.787494820073888,0.7932141219624026
14,0.7936833304114466,0.7990654157788548,0.8044475011462631
15,0.8043639502110501,0.8096650508667786,0.8149661515225072
16,0.8153007970007955,0.8200084641475645,0.8247161312943334
17,0.8250374226261918,0.8295831987311718,0.8341289748361518
18,0.8338839966016209,0.8381532613479825,0.8424225260943441
19,0.842460857955848,0.8462243605257839,0.8499878630957197
20,0.8507410354267528,0.8541134041389232,0.8574857728510936
21,0.8585222445484335,0.8613079437538402,0.864093642959247
22,0.865871913476191,0.868347397793197,0.8708228821102031
23,0.8730058123069868,0.8751778259150707,0.8773498395231545
24,0.8786158348279907,0.8810305486948433,0.883445262561696
25,0.8848731676398797,0.8870855575772557,0.8892979475146318
26,0.8905101614230038,0.892843882394486,0.8951776033659682
27,0.8956751581190242,0.8978537615985525,0.9000323650780807
28,0.9009210686014052,0.9029175831449996,0.904914097688594
29,0.9061534934527261,0.9079746618759167,0.9097958302991073
30,0.9107925505374024,0.9124316341165044,0.9140707176956064
31,0.9157957196607014,0.9169897496812016,0.9181837797017018
32,0.9196526101438918,0.9210286677226458,0.9224047253013998
33,0.9238736126657047,0.9249934182485953,0.9261132238314859
34,0.9281890146049384,0.9289851403094547,0.9297812660139709
35,0.9318436206222269,0.9325925226125402,0.9333414246028535
36,0.9355791404258762,0.9362403618088062,0.9369015831917362
37,0.9384515798416787,0.9392206654501432,0.9399897510586076
38,0.9414723611991423,0.9423290818591121,0.9431858025190819
39,0.9447898264399283,0.9455049275145403,0.9462200285891523
40,0.9481477485738945,0.9487819143117604,0.9494160800496263
41,0.9512494437177188,0.9517015349775044,0.95215362623729
42,0.9540814262403408,0.9545402411294484,0.954999056018556
