,precisions_lower,mean_precision,precisions_upper
0,1.0,1.0,1.0
1,1.0,1.0,1.0
2,1.0,1.0,1.0
3,1.0,1.0,1.0
4,1.0,1.0,1.0
5,1.0,1.0,1.0
6,1.0,1.0,1.0
7,1.0,1.0,1.0
8,1.0,1.0,1.0
9,1.0,1.0,1.0
10,0.9999056005825793,0.9999190866682888,0.9999325727539983
11,0.9991638908742735,0.9992987510039302,0.9994336111335869
12,0.9973433306811592,0.9974916885355523,0.9976400463899453
13,0.9945383194206573,0.9947743516082708,0.9950103837958842
14,0.9906544576753469,0.9911871959331774,0.9917199341910079
15,0.9854085471929659,0.986022233517728,0.9866359198424901
16,0.9795018407886397,0.9801357951144968,0.9807697494403539
17,0.9727859965207073,0.9735278797232552,0.974269762925803
18,0.9657869540005124,0.9664479717004746,0.9671089894004368
19,0.9581406011894327,0.9586196168824419,0.9590986325754511
20,0.9499278518738283,0.9505080638121468,0.9510882757504653
21,0.9406632233355359,0.9416615466679028,0.9426598700002697
22,0.932841557320675,0.9336578798281774,0.9344742023356798
23,0.9237657276172239,0.9250473593179573,0.9263289910186908
24,0.9152697800493574,0.9167267798755296,0.9181837797017018
25,0.906018637142125,0.9081499718062218,0.9102813064703186
26,0.8967674942348928,0.8992629984053068,0.9017585025757208
27,0.8882850322980864,0.8909896181260101,0.8936942039539337
28,0.8792901163809961,0.8820352192067615,0.884780322032527
29,0.8709559963858509,0.8736741845078916,0.8763923726299323
30,0.8611384569740941,0.864402871985712,0.8676672869973299
31,0.8524267393092659,0.8560822910884059,0.859737842867546
32,0.8431081682467331,0.847694278853253,0.8522803894597729
33,0.8340188529122219,0.8391039864259036,0.8441891199395852
34,0.8254824484511752,0.8309317466518896,0.836381044852604
35,0.8165145037962052,0.8225032804333131,0.8284920570704211
36,0.8074521597238142,0.8136567646530175,0.8198613695822208
37,0.7988618127385271,0.8053024709510798,0.8117431291636324
38,0.7901905519668793,0.7970897739201659,0.8039889958734525
39,0.7817215756611331,0.7887152528627968,0.7957089300644604
40,0.7728075735304034,0.7799968498501331,0.7871861261698627
41,0.7640419133413348,0.7713795887067005,0.7787172640720663
42,0.7554785376181679,0.762701644405815,0.7699247511934622
43,0.7468881906328807,0.7545361469926817,0.7621841033524827
44,0.7381899585991126,0.7459997989991005,0.7538096393990884
45,0.7296400685070057,0.7375645928747505,0.7454891172424953
46,0.7203080118134129,0.7286034489576545,0.7368988861018961
47,0.7113535527895027,0.7200873274102058,0.7288211020309088
48,0.7027632058042155,0.7119285727216724,0.7210939396391294
49,0.6929861232856391,0.7029202267316887,0.7128543301777384
50,0.6837080091162866,0.6937433159911071,0.7037786228659275
51,0.6741332110636118,0.6841348688756579,0.694136526687704
52,0.6651652664086416,0.6754704072960758,0.6857755481835099
53,0.6565479481612342,0.6667924626314707,0.6770369771017073
54,0.6470810351570402,0.6579392013986781,0.668797367640316
55,0.6383423462300919,0.6488162360920937,0.6592901259540955
56,0.628781033808477,0.6401113141639952,0.6514415945195134
57,0.6191118363383814,0.6308265171928442,0.642541198047307
58,0.6096044664410071,0.6216630903556547,0.6337217142703023
59,0.6004746942133157,0.6127693750485086,0.6250640558837015
60,0.5901042439280946,0.603053038974593,0.6160018340210913
61,0.5798147074292341,0.5933569316200571,0.60689915581088
62,0.5688374037463082,0.583337168847289,0.5978369339482699
63,0.5582916402573058,0.5735938606928841,0.5888960811284624
64,0.5476514773508826,0.5632571921371561,0.5788629069234296
65,0.5374967971626232,0.5527317305661,0.5679666639695768
66,0.5247933327040039,0.5415656929722786,0.5583380532405534
67,0.5139643709627391,0.5309458287103255,0.5479272864579119
68,0.502946610386633,0.5207372693759634,0.5385279283652938
69,0.4914029101991827,0.5095712396021131,0.5277395690050436
70,0.47960298302159043,0.4982029263625901,0.5168028697035898
71,0.46769517079551737,0.48642330619501845,0.5051514415945195
72,0.45492427818159753,0.47434025760092635,0.4937562370202552
73,0.44255795449948077,0.46223024083633046,0.48190252717318016
74,0.43060968538022737,0.45092935384258015,0.47124902230493293
75,0.4168408560678597,0.4379899724954559,0.4591390889230521
76,0.40311248364867236,0.4255832666645336,0.44805404968039486
77,0.3912451283157795,0.4136013650317468,0.43595760174771414
78,0.37771904036249376,0.40057432990155867,0.4234296194406236
79,0.36529877415613665,0.38702136970880974,0.4087439652614828
80,0.3516782867854301,0.3735021150463008,0.3953259433071715
81,0.3373160897064178,0.35909281573542695,0.3808695417644361
82,0.32116030369641146,0.3428427405150342,0.36452517733365697
83,0.30747238817040445,0.3275568915526349,0.34764139493486534
84,0.2910334039081358,0.3104437456738942,0.3298540874396526
85,0.27369088236484024,0.29231244228822695,0.31093400221161366
86,0.25733281188893237,0.2742283446126432,0.2911238773363541
87,0.23344975928148554,0.2518760515262783,0.27030234377107104
88,0.21408439307917415,0.2314184945140726,0.24875259594897103
89,0.1927231534799671,0.20865491223098875,0.2245866709820104
90,0.17806427251763246,0.19013254891356177,0.20220082530949107
91,0.16031718204253367,0.16985031365254769,0.1793834452625617
92,0.14065513195689994,0.15024233793950398,0.15982954392210802
93,0.12489042924763663,0.12833511941654696,0.1317798095854573
94,0.10431135624991572,0.10522766345278914,0.10614397065566256
95,0.08394692127194756,0.0855320489601144,0.08711717664828125
96,0.06036087062060038,0.06312583199013783,0.06589079335967526
97,0.038136850338484775,0.041447829913487395,0.044758809488490016
98,0.009723008873425571,0.018819132583921934,0.027915256294418295
99,0.0,0.0,0.0
