,precisions_lower,mean_precision,precisions_upper
0,1.0,1.0,1.0
1,1.0,1.0,1.0
2,1.0,1.0,1.0
3,1.0,1.0,1.0
4,1.0,1.0,1.0
5,1.0,1.0,1.0
6,1.0,1.0,1.0
7,1.0,1.0,1.0
8,1.0,1.0,1.0
9,1.0,1.0,1.0
10,0.9994840706823165,0.9996130530117373,0.9997420353411581
11,0.9945827421643235,0.9949696891525861,0.9953566361408487
12,0.9883915903521218,0.9883915903521218,0.9883915903521218
13,0.9778150393396103,0.9794918096220817,0.9811685799045531
14,0.9694311879272539,0.9713014317038565,0.9731716754804591
15,0.9622081774796852,0.9634335096091835,0.9646588417386818
16,0.9560170256674836,0.9564684638204566,0.9569199019734296
17,0.9466013156197601,0.948665032890494,0.9507287501612278
18,0.9391203405133497,0.9414420224429254,0.9437637043725011
19,0.9303495421127306,0.933832065007094,0.9373145879014575
20,0.9224816200180574,0.9257706694182897,0.9290597188185219
21,0.9153875918999097,0.9177092738294854,0.9200309557590611
22,0.9099703340642333,0.9107442280407585,0.9115181220172837
23,0.9015864826518767,0.9028763059460854,0.904166129240294
24,0.8957822778279376,0.895975751322069,0.8961692248162003
25,0.8881723203921063,0.8887527408745002,0.8893331613568941
26,0.8831420095446922,0.8833354830388236,0.8835289565329549
27,0.8741132464852315,0.8757255256029923,0.8773378047207532
28,0.8679220946730297,0.8700503031084741,0.8721785115439185
29,0.8619889075196698,0.8636656778021411,0.8653424480846124
30,0.8554108087192056,0.8574745259899395,0.8595382432606733
31,0.8475428866245325,0.8505739713659228,0.8536050561073132
32,0.840964787824068,0.8440603637301689,0.8471559396362698
33,0.8360634593060751,0.8383206500709403,0.8405778408358054
34,0.8312911131175029,0.832193989423449,0.8330968657293951
35,0.8248419966464594,0.8254224171288533,0.8260028376112473
36,0.8194247388107829,0.8196827034696247,0.8199406681284664
37,0.8136205339868439,0.814394427963369,0.8151683219398942
38,0.8080742938217464,0.8081387849864569,0.8082032761511673
39,0.8017541596801239,0.802076615503676,0.8023990713272282
40,0.7962079195150265,0.7963369018444473,0.7964658841738681
41,0.788726944408616,0.7896943118792725,0.790661679349929
42,0.782922739584677,0.7834386689023605,0.783954598220044
43,0.778795305043209,0.7789887785373404,0.7791822520314717
44,0.770927382948536,0.7727976267251386,0.7746678705017412
45,0.7644782664774926,0.7661550367599639,0.7678318070424351
46,0.7597059202889204,0.7598993937830517,0.7600928672771831
47,0.7549335741003482,0.7556429769121631,0.756352379723978
48,0.7475815813233587,0.7504836837353283,0.7533857861472978
49,0.7406165355346317,0.7437121114407326,0.7468076873468334
50,0.7364891009931638,0.7394556945698438,0.7424222881465239
51,0.7279762672513865,0.7322326841222753,0.736489100993164
52,0.7223010447568683,0.7260415323100735,0.7297820198632787
53,0.7158519282858249,0.7199148716625823,0.7239778150393397
54,0.7109505997678318,0.7140461756739327,0.7171417515800336
55,0.7024377660260546,0.7070811298852058,0.711724493744357
56,0.6944408616019604,0.7005030310847413,0.7065652005675223
57,0.6877337804720753,0.6948278085902231,0.7019218367083708
58,0.6829614342835032,0.6896685154133884,0.6963755965432735
59,0.6775441764478265,0.6839288017541596,0.6903134270604927
60,0.6710950599767831,0.6763188443183283,0.6815426286598736
61,0.6636140848703729,0.6684509222236554,0.673287759576938
62,0.6576808977170128,0.6631626467173997,0.6686443957177866
63,0.6503289049400234,0.6562620920933833,0.6621952792467432
64,0.645685541080872,0.6503933961047337,0.6551012511285954
65,0.6383335483038823,0.6427189475041919,0.6471043467045015
66,0.6331742551270476,0.635753901715465,0.6383335483038823
67,0.6282729266090545,0.6283374177737651,0.6284019089384756
68,0.6187282342319103,0.6209854249967754,0.6232426157616406
69,0.6125370824197085,0.6149232555139945,0.6173094286082805
70,0.6023474783954598,0.6066038952663485,0.6108603121372372
71,0.5948665032890494,0.5989939378305172,0.603121372371985
72,0.5819682703469624,0.5874500193473493,0.5929317683477362
73,0.5741003482522893,0.5791951502644137,0.5842899522765381
74,0.5645556558751451,0.5696504578872694,0.5747452598993937
75,0.5553979104862634,0.5598478008512834,0.5642976912163034
76,0.5458532181091191,0.5518508964271895,0.55784857474526
77,0.5326970205081903,0.5414678189088095,0.5502386173094286
78,0.5231523281310462,0.5323745646846383,0.5415968012382304
79,0.514252547401006,0.521798013672127,0.5293434799432479
80,0.5059976783180704,0.511414936153747,0.5168321939894236
81,0.4918096220817748,0.4971623887527409,0.502515155423707
82,0.4839416999871018,0.487682187540307,0.49142267509351223
83,0.467947891138914,0.47439700760995746,0.4808461240810009
84,0.4578872694440862,0.46078937185605573,0.46369147426802526
85,0.44447310718431576,0.44763317425512705,0.45079324132593834
86,0.43092996259512445,0.43280020637172706,0.43467045014832967
87,0.4123565071585193,0.4134528569585967,0.41454920675867407
88,0.39481491035728106,0.397330065780988,0.39984522120469496
89,0.37224300270862887,0.3734038436734167,0.3745646846382046
90,0.3581839288017542,0.3591512962724107,0.3601186637430672
91,0.3353540564942603,0.3375467560944151,0.33973945569456987
92,0.30362440345672637,0.30852573197471944,0.3134270604927125
93,0.2587385528182639,0.274925835160583,0.2911131175029021
94,0.2200438539920031,0.23887527408745002,0.25770669418289693
95,0.18754030697794402,0.21185347607377789,0.23616664516961175
96,0.09377015348897202,0.14362182381013802,0.19347349413130402
97,0.0647491293692764,0.10679736876047981,0.1488456081516832
98,0.028505094802012125,0.03559912292015994,0.04269315103830775
99,0.0,0.0,0.0
